Movie_Name,Rating,Genre,Year,Rating_Score,Votes,Director,Star,Country,Budget,Gross,Company,Release_date
Final Destination,R,Horror,2000,6.7,236000,James Wong,Devon Sawa,United States,23000000,112880294,New Line Cinema,17/03/2000
Traffic,R,Crime,2000,7.6,199000,Steven Soderbergh,Michael Douglas,United States,48000000,207515725,Compulsion Inc.,05/01/2001
Sexy Beast,R,Crime,2000,7.3,57000,Jonathan Glazer,Ray Winstone,United Kingdom,20500000,10045677,Recorded Picture Company (RPC),13/07/2001
In the Mood for Love,PG,Drama,2000,8.1,133000,Kar-Wai Wong,Tony Chiu-Wai Leung,Hong Kong,20500000,14244250,Block 2 Pictures,09/03/2001
What Lies Beneath,PG-13,Drama,2000,6.6,120000,Robert Zemeckis,Harrison Ford,United States,100000000,291420351,Dreamworks Pictures,21/07/2000
The Emperor's New Groove,G,Animation,2000,7.4,187000,Mark Dindal,David Spade,United States,100000000,169661687,Walt Disney Animation Studios,15/12/2000
"Crouching Tiger, Hidden Dragon",PG-13,Action,2000,7.8,258000,Ang Lee,Chow Yun-Fat,Taiwan,17000000,213525736,Asia Union Film & Entertainment Ltd.,12/01/2001
Gone in 60 Seconds,PG-13,Action,2000,6.5,265000,Dominic Sena,Nicolas Cage,United States,90000000,237202299,Touchstone Pictures,09/06/2000
"Dude, Where's My Car?",PG-13,Comedy,2000,5.5,136000,Danny Leiner,Ashton Kutcher,United States,13000000,73180723,Twentieth Century Fox,15/12/2000
Meet the Parents,PG-13,Comedy,2000,7,317000,Jay Roach,Ben Stiller,United States,55000000,330444045,Universal Pictures,06/10/2000
Pitch Black,R,Action,2000,7.1,229000,David Twohy,Radha Mitchell,United States,23000000,53187659,Polygram Filmed Entertainment,18/02/2000
Hollow Man,R,Action,2000,5.8,126000,Paul Verhoeven,Kevin Bacon,United States,95000000,190213455,Columbia Pictures,04/08/2000
Ginger Snaps,Not Rated,Drama,2000,6.8,43000,John Fawcett,Emily Perkins,Canada,5000000,2554,Copperheart Entertainment,11/05/2001
Miss Congeniality,PG-13,Action,2000,6.3,194000,Donald Petrie,Sandra Bullock,United States,45000000,212742720,Castle Rock Entertainment,22/12/2000
High Fidelity,R,Comedy,2000,7.5,172000,Stephen Frears,John Cusack,United Kingdom,30000000,47126295,Touchstone Pictures,31/03/2000
Battlefield Earth,PG-13,Action,2000,2.5,77000,Roger Christian,John Travolta,United States,73000000,29725663,Warner Bros.,12/05/2000
Scream 3,R,Horror,2000,5.6,126000,Wes Craven,David Arquette,United States,40000000,161834276,Dimension Films,04/02/2000
Best in Show,PG-13,Comedy,2000,7.5,58000,Christopher Guest,Fred Willard,United States,10000000,20789556,Castle Rock Entertainment,20/10/2000
The Whole Nine Yards,R,Comedy,2000,6.7,114000,Jonathan Lynn,Bruce Willis,United States,41300000,106371651,Franchise Pictures,18/02/2000
Chocolat,PG-13,Drama,2000,7.2,181000,Lasse Hallström,Juliette Binoche,United Kingdom,25000000,152699976,Miramax,19/01/2001
Billy Elliot,R,Drama,2000,7.7,129000,Stephen Daldry,Jamie Bell,United Kingdom,5000000,109283018,StudioCanal,10/11/2000
Amores Perros,R,Drama,2000,8.1,228000,Alejandro G. Iñárritu,Emilio Echevarría,Mexico,2000000,20908467,Altavista Films,13/04/2001
"Me, Myself & Irene",R,Comedy,2000,6.6,226000,Bobby Farrelly,Jim Carrey,United States,51000000,149270999,Twentieth Century Fox,23/06/2000
U-571,PG-13,Action,2000,6.6,79000,Jonathan Mostow,Matthew McConaughey,France,62000000,127666415,Universal Pictures,21/04/2000
Bedazzled,PG-13,Comedy,2000,6,99000,Harold Ramis,Brendan Fraser,United States,48000000,90383208,Twentieth Century Fox,20/10/2000
The Road to El Dorado,PG,Animation,2000,6.9,88000,Bibo Bergeron,Kevin Kline,United States,95000000,76432727,DreamWorks Animation,31/03/2000
Scarlet Diva,R,Drama,2000,5,2400,Asia Argento,Asia Argento,Italy,20500000,18062,Opera Film (II),26/05/2000
Dinosaur,PG,Animation,2000,6.5,56000,Eric Leighton,D.B. Sweeney,United States,127500000,349822765,Walt Disney Pictures,19/05/2000
How the Grinch Stole Christmas,PG,Comedy,2000,6.2,219000,Ron Howard,Jim Carrey,United States,123000000,363597184,Universal Pictures,17/11/2000
